actual,detected,cpv,cpv_desc,object
subministrament,servei,15894200-3,,Servei d'Organització del II Food Truck Festival del Penedès Marítim a Cunit dies 28 i 29 de juliol de 2017
obra,subministrament,45213316-1,,"Subministrament i instal·lació de material audiovisual i lumínic per la sala polivalent del Casal Municipal, segons característiques i preus unitaris determinats a la Fase 1 del Projecte bàsic per l'equipament audiovisual i il·luminació per a la sala auditori de l'edifici del Casal Municipal"
subministrament,servei,44211100-3,,Subminisrament amb instal·lació de 2 nous equipaments de serveis de begudes al parc de Cossetans i Passeig Marítim de Cunit
servei,obra,71540000-5,,"1.4.6. Contracte menor de 10.000 o més - Direcció d'obres i seguretat i salut obres asfaltat diversos (trams: Av. Can Nicolau, Pl.Jaume I, Av Font i Cl. Figueretes)"
subministrament,servei,34144511-3,,Subminstrament de 2 vehicles nous de recollida bilaterals de residu amb capacitat superior o igual a 20 m3 per al servei de recollida de residus municipals de Cunit
servei,subministrament,85200000-1,,1.4.6. contracte menor entre 6.000 i 9.999 - Castació de gats
servei,subministrament,80000000-4,,1.4.6. contracte menor entre 6.000 i 9.999 - Contracte docencia MF0272_2: Primers auxilis (40 h- CP socorrisme en espais aquàtics naturals)
subministrament,servei,37416000-7,,1.4.6. contracte menor entre 6.000 i 9.999 - Servei de diverses activitats per a la campanya del Carnaval de Cunit 2023
servei,subministrament,80000000-4,,1.4.6. contracte menor entre 6.000 i 9.999 - MF 1083_2 Rescat accidentats espais aquatics naturals 120 h (CP socorrisme en espais aquàtics naturals – FOAP2022)
subministrament,servei,09331200-0||45223200-8,,"L’objecte del present Plec de Clàusules és regular la contractació de les obres del «Projecte d'instal·lació fotovoltaica per autoconsum directe a la Biblioteca Municipal Marta Mata», situada al carrer de la Creueta, número 17, de Cunit (43881), aprovat definitivament en data 29 de novembre de 2022,  redactat per l’Enginyer Industrial Moisès Martínez Fèlix amb data març de 2021."
